Ausgabedatei Z88O3.TXT : Spannungen, erzeugt mit Z88R V15OS
                         **********

bei isoparametrischen Elementen Berechnung der Spannungen in den Gausspunkten
3 Punkte pro Achse/Element
Berechnung der Vergleichsspannungen nach Gestaltsaenderungsenergie-Hypothese fuer Elemente 3 + 6  
sowie fuer Gausspunkte der Elemente 1,7,8,10,11,12,14 bis 24

Element # = 1     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
Element # = 55     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.38E+02  +2.70E+01  -5.376E+01  +8.186E+00  +3.037E-01  +5.829E+01
  +1.38E+02  +2.39E+01  -7.884E+01  +1.652E+00  +1.158E+01  +8.217E+01
  +1.37E+02  +2.09E+01  -1.065E+02  -6.246E+00  +2.370E+01  +1.114E+02
  +1.31E+02  +2.88E+01  -5.179E+01  +2.675E+00  +8.246E+00  +5.507E+01
  +1.30E+02  +2.58E+01  -8.063E+01  -1.478E+00  +1.818E+01  +8.588E+01
  +1.29E+02  +2.28E+01  -1.122E+02  -7.062E+00  +2.903E+01  +1.199E+02
  +1.23E+02  +3.06E+01  -5.199E+01  -3.520E+00  +1.307E+01  +5.518E+01
  +1.23E+02  +2.77E+01  -8.468E+01  -5.149E+00  +2.151E+01  +9.027E+01
  +1.22E+02  +2.47E+01  -1.202E+02  -8.242E+00  +3.094E+01  +1.280E+02

Element # = 56     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.41E+02  +3.46E+01  +8.705E+00  +2.061E+01  -6.198E+00  +2.089E+01
  +1.40E+02  +3.17E+01  -1.643E+01  +1.732E+01  -4.849E+00  +3.042E+01
  +1.39E+02  +2.87E+01  -3.960E+01  +1.420E+01  -3.164E+00  +4.860E+01
  +1.33E+02  +3.65E+01  +2.901E+01  +1.217E+01  -3.016E+00  +2.576E+01
  +1.32E+02  +3.35E+01  -3.118E+00  +8.893E+00  +1.705E+00  +1.119E+01
  +1.31E+02  +3.05E+01  -3.336E+01  +5.738E+00  +6.760E+00  +3.840E+01
  +1.26E+02  +3.83E+01  +4.466E+01  +4.705E+00  -7.481E+00  +4.443E+01
  +1.25E+02  +3.53E+01  +5.469E+00  +1.470E+00  +4.941E-01  +4.976E+00
  +1.24E+02  +3.24E+01  -3.193E+01  -1.658E+00  +8.830E+00  +3.469E+01

Element # = 57     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.43E+02  +4.21E+01  +1.812E+02  +3.809E+01  +1.482E+01  +1.674E+02
  +1.42E+02  +3.92E+01  +1.023E+02  +3.009E+01  +6.460E+00  +9.178E+01
  +1.41E+02  +3.63E+01  +3.515E+01  +2.555E+01  -2.797E+00  +3.184E+01
  +1.35E+02  +4.40E+01  +1.360E+02  +1.117E+01  -1.961E+01  +1.351E+02
  +1.34E+02  +4.11E+01  +8.240E+01  +6.585E+00  -1.704E+01  +8.463E+01
  +1.34E+02  +3.82E+01  +3.993E+01  +5.355E+00  -1.562E+01  +4.627E+01
  +1.28E+02  +4.59E+01  +1.093E+02  +6.154E+00  -3.458E+01  +1.220E+02
  +1.27E+02  +4.30E+01  +8.031E+01  +4.822E+00  -2.168E+01  +8.658E+01
  +1.26E+02  +4.00E+01  +6.209E+01  +6.765E+00  -1.004E+01  +6.150E+01

Element # = 58     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.58E+02  +2.22E+01  -3.065E+01  +4.075E+00  -1.079E+01  +3.782E+01
  +1.57E+02  +1.91E+01  -3.554E+01  +1.819E+00  -2.985E+00  +3.685E+01
  +1.56E+02  +1.60E+01  -4.063E+01  -6.740E-01  +4.855E+00  +4.116E+01
  +1.50E+02  +2.40E+01  -4.085E+01  +4.612E+00  -6.527E+00  +4.479E+01
  +1.49E+02  +2.10E+01  -5.178E+01  +7.285E-01  +2.953E+00  +5.240E+01
  +1.49E+02  +1.79E+01  -6.291E+01  -3.440E+00  +1.252E+01  +6.498E+01
  +1.43E+02  +2.59E+01  -5.287E+01  +1.059E+01  -7.066E+00  +6.015E+01
  +1.42E+02  +2.29E+01  -6.987E+01  +5.089E+00  +4.105E+00  +7.289E+01
  +1.41E+02  +1.98E+01  -8.709E+01  -7.455E-01  +1.542E+01  +9.073E+01

Element # = 59     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.60E+02  +2.98E+01  -1.819E+01  -1.502E+00  -1.686E+01  +3.404E+01
  +1.59E+02  +2.69E+01  -2.157E+01  +1.458E+00  -1.521E+01  +3.453E+01
  +1.58E+02  +2.39E+01  -2.715E+01  +3.563E+00  -1.328E+01  +3.709E+01
  +1.52E+02  +3.17E+01  -9.594E+00  +3.968E+00  -1.691E+01  +3.168E+01
  +1.52E+02  +2.88E+01  -2.117E+01  +3.199E+00  -1.411E+01  +3.352E+01
  +1.51E+02  +2.58E+01  -3.494E+01  +1.541E+00  -1.097E+01  +4.047E+01
  +1.45E+02  +3.35E+01  -1.856E-03  +2.505E+01  -2.129E+01  +4.459E+01
  +1.44E+02  +3.06E+01  -1.980E+01  +2.042E+01  -1.734E+01  +4.599E+01
  +1.43E+02  +2.76E+01  -4.180E+01  +1.486E+01  -1.298E+01  +5.563E+01

Element # = 60     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.62E+02  +3.72E+01  -8.135E+00  -3.785E+00  -1.437E+01  +2.587E+01
  +1.61E+02  +3.44E+01  -6.553E+00  -2.613E+00  -1.634E+01  +2.887E+01
  +1.60E+02  +3.15E+01  -1.388E+01  -4.822E+00  -1.641E+01  +3.093E+01
  +1.54E+02  +3.91E+01  -2.291E+00  -7.156E+00  -6.123E+00  +1.235E+01
  +1.54E+02  +3.63E+01  +8.290E-01  +2.127E-01  -1.349E+01  +2.337E+01
  +1.53E+02  +3.34E+01  -4.762E+00  +4.005E+00  -1.880E+01  +3.344E+01
  +1.47E+02  +4.10E+01  +1.262E+01  +9.037E+00  +8.643E+00  +1.873E+01
  +1.46E+02  +3.81E+01  +1.723E+01  +2.226E+01  -4.053E+00  +2.140E+01
  +1.45E+02  +3.52E+01  +1.330E+01  +3.180E+01  -1.462E+01  +3.750E+01

Element # = 61     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.77E+02  +1.74E+01  -1.029E+01  +1.831E+00  -2.959E+00  +1.243E+01
  +1.76E+02  +1.43E+01  -9.720E+00  +8.143E-01  -8.953E-01  +1.027E+01
  +1.75E+02  +1.11E+01  -7.508E+00  +2.699E-01  +9.975E-01  +7.839E+00
  +1.70E+02  +1.92E+01  -1.718E+01  +1.224E+00  -3.932E+00  +1.908E+01
  +1.69E+02  +1.61E+01  -1.740E+01  +3.642E-01  -4.293E-02  +1.759E+01
  +1.68E+02  +1.30E+01  -1.600E+01  -5.701E-02  +3.630E+00  +1.717E+01
  +1.62E+02  +2.11E+01  -2.504E+01  +1.064E+00  -6.547E+00  +2.799E+01
  +1.61E+02  +1.80E+01  -2.604E+01  +3.660E-01  -7.902E-01  +2.626E+01
  +1.60E+02  +1.49E+01  -2.543E+01  +8.064E-02  +4.719E+00  +2.675E+01

Element # = 62     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.79E+02  +2.51E+01  -9.750E+00  +1.274E+00  -6.309E+00  +1.512E+01
  +1.78E+02  +2.21E+01  -1.007E+01  +1.354E+00  -5.341E+00  +1.423E+01
  +1.78E+02  +1.91E+01  -1.043E+01  +1.243E+00  -4.175E+00  +1.325E+01
  +1.72E+02  +2.69E+01  -1.188E+01  -5.202E-01  -8.787E+00  +1.916E+01
  +1.71E+02  +2.40E+01  -1.389E+01  +5.775E-01  -7.158E+00  +1.884E+01
  +1.70E+02  +2.10E+01  -1.596E+01  +1.404E+00  -5.329E+00  +1.909E+01
  +1.64E+02  +2.88E+01  -1.497E+01  -1.185E+00  -1.315E+01  +2.696E+01
  +1.63E+02  +2.58E+01  -1.866E+01  +8.970E-01  -1.084E+01  +2.680E+01
  +1.63E+02  +2.28E+01  -2.244E+01  +2.646E+00  -8.320E+00  +2.788E+01

Element # = 63     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.81E+02  +3.23E+01  -7.014E+00  -4.885E-01  -8.779E+00  +1.665E+01
  +1.80E+02  +2.95E+01  -8.911E+00  -1.353E-01  -7.961E+00  +1.638E+01
  +1.80E+02  +2.67E+01  -1.009E+01  +5.306E-01  -7.443E+00  +1.654E+01
  +1.74E+02  +3.42E+01  -8.468E+00  +3.209E-01  -1.133E+01  +2.144E+01
  +1.73E+02  +3.14E+01  -1.017E+01  -7.260E-01  -1.012E+01  +2.010E+01
  +1.72E+02  +2.86E+01  -1.118E+01  -1.388E+00  -9.228E+00  +1.915E+01
  +1.66E+02  +3.61E+01  -1.014E+01  -2.042E-02  -1.380E+01  +2.596E+01
  +1.65E+02  +3.33E+01  -1.166E+01  -2.416E+00  -1.223E+01  +2.371E+01
  +1.65E+02  +3.05E+01  -1.250E+01  -4.376E+00  -1.097E+01  +2.196E+01

Element # = 64     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.97E+02  +1.25E+01  -6.790E-01  -4.289E-01  -8.198E-01  +1.540E+00
  +1.96E+02  +9.41E+00  -1.900E-02  -1.321E-01  -2.732E-01  +4.891E-01
  +1.95E+02  +6.18E+00  +1.103E+00  +3.628E-01  +1.068E-01  +9.911E-01
  +1.89E+02  +1.44E+01  -4.233E+00  +9.421E-02  -1.806E+00  +5.302E+00
  +1.88E+02  +1.13E+01  -3.347E+00  -1.535E-01  -8.253E-01  +3.572E+00
  +1.87E+02  +8.09E+00  -1.996E+00  -1.754E-01  -2.819E-02  +1.915E+00
  +1.82E+02  +1.63E+01  -7.463E+00  +1.433E+00  -2.597E+00  +9.417E+00
  +1.81E+02  +1.32E+01  -6.356E+00  +6.179E-01  -1.180E+00  +6.992E+00
  +1.80E+02  +9.99E+00  -4.779E+00  +5.221E-02  +3.809E-02  +4.806E+00

Element # = 65     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.99E+02  +2.02E+01  -2.156E+00  -3.254E+00  -3.598E+00  +6.860E+00
  +1.98E+02  +1.73E+01  -1.632E+00  -2.049E+00  -2.398E+00  +4.557E+00
  +1.97E+02  +1.43E+01  -1.032E+00  -8.283E-01  -1.367E+00  +2.551E+00
  +1.91E+02  +2.21E+01  -5.627E+00  -9.329E-01  -4.886E+00  +9.945E+00
  +1.90E+02  +1.92E+01  -5.200E+00  -5.094E-01  -3.636E+00  +8.019E+00
  +1.90E+02  +1.62E+01  -4.683E+00  -1.890E-02  -2.552E+00  +6.433E+00
  +1.84E+02  +2.40E+01  -9.030E+00  +1.481E+00  -6.103E+00  +1.445E+01
  +1.83E+02  +2.10E+01  -8.700E+00  +1.134E+00  -4.805E+00  +1.249E+01
  +1.82E+02  +1.81E+01  -8.269E+00  +8.961E-01  -3.671E+00  +1.082E+01

Element # = 66     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +2.00E+02  +2.73E+01  -7.005E+00  -8.977E+00  -7.275E+00  +1.502E+01
  +2.00E+02  +2.46E+01  -5.314E+00  -7.422E+00  -6.048E+00  +1.239E+01
  +1.99E+02  +2.19E+01  -3.631E+00  -6.016E+00  -4.856E+00  +9.914E+00
  +1.93E+02  +2.92E+01  -5.028E+00  -1.961E+00  -6.319E+00  +1.179E+01
  +1.92E+02  +2.65E+01  -4.961E+00  -7.383E-01  -5.549E+00  +1.067E+01
  +1.92E+02  +2.38E+01  -4.883E+00  +3.830E-01  -4.803E+00  +9.750E+00
  +1.85E+02  +3.12E+01  -5.768E+00  -2.990E-01  -7.474E+00  +1.411E+01
  +1.85E+02  +2.84E+01  -7.216E+00  +7.910E-01  -7.091E+00  +1.447E+01
  +1.84E+02  +2.56E+01  -8.647E+00  +1.812E+00  -6.724E+00  +1.515E+01
