Ausgabedatei Z88O3.TXT : Spannungen, erzeugt mit Z88R V15OS
                         **********

bei isoparametrischen Elementen Berechnung der Spannungen in den Gausspunkten
3 Punkte pro Achse/Element
Berechnung der Vergleichsspannungen nach Gestaltsaenderungsenergie-Hypothese fuer Elemente 3 + 6  
sowie fuer Gausspunkte der Elemente 1,7,8,10,11,12,14 bis 24

Element # = 1     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.82E+01  +3.21E+01  -1.543E+02  -5.054E+01  -1.038E+02  +2.255E+02
  +6.00E+01  +3.02E+01  -2.066E+02  -7.068E+01  -1.219E+02  +2.787E+02
  +5.43E+01  +3.27E+01  -1.104E+02  +7.352E+00  -7.605E+01  +1.744E+02
  +5.57E+01  +3.08E+01  -1.785E+02  -1.729E+01  -9.575E+01  +2.379E+02
  +5.71E+01  +2.88E+01  -2.375E+02  -3.805E+01  -1.126E+02  +2.947E+02
  +5.19E+01  +3.16E+01  -1.371E+02  +1.721E+01  -7.658E+01  +1.976E+02
  +5.29E+01  +2.96E+01  -2.149E+02  -9.995E+00  -9.387E+01  +2.657E+02
  +5.40E+01  +2.76E+01  -2.812E+02  -3.305E+01  -1.085E+02  +3.259E+02

Element # = 14     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.22E+01  +3.86E+01  +1.040E+02  +6.685E+01  +3.903E+00  +9.154E+01
  +5.39E+01  +3.69E+01  +2.338E+01  +2.474E+01  -3.756E+01  +6.938E+01
  +5.55E+01  +3.50E+01  -4.445E+01  -1.030E+01  -7.341E+01  +1.334E+02
  +5.08E+01  +3.75E+01  +1.004E+02  +9.447E+01  -1.033E+00  +9.758E+01
  +5.21E+01  +3.56E+01  +1.403E+01  +5.511E+01  -3.771E+01  +8.202E+01
  +5.35E+01  +3.38E+01  -5.738E+01  +2.197E+01  -6.939E+01  +1.396E+02
  +4.92E+01  +3.64E+01  +7.986E+01  +1.044E+02  -1.091E+01  +9.642E+01
  +5.02E+01  +3.46E+01  -1.230E+01  +6.485E+01  -4.169E+01  +1.018E+02
  +5.13E+01  +3.27E+01  -8.719E+01  +3.106E+01  -6.855E+01  +1.593E+02

Element # = 15     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.80E+01  +4.30E+01  +1.620E+02  +3.543E+02  +2.088E+02  +4.745E+02
  +4.96E+01  +4.14E+01  +1.618E+02  +2.027E+02  +1.196E+02  +2.782E+02
  +5.13E+01  +3.97E+01  +1.492E+02  +8.870E+01  +4.018E+01  +1.474E+02
  +4.74E+01  +4.20E+01  +2.306E+02  +3.497E+02  +2.466E+02  +5.266E+02
  +4.87E+01  +4.03E+01  +2.028E+02  +2.124E+02  +1.293E+02  +3.055E+02
  +5.00E+01  +3.85E+01  +1.679E+02  +1.128E+02  +2.916E+01  +1.566E+02
  +4.66E+01  +4.11E+01  +3.078E+02  +3.230E+02  +2.678E+02  +5.611E+02
  +4.76E+01  +3.93E+01  +2.395E+02  +2.036E+02  +1.239E+02  +3.100E+02
  +4.86E+01  +3.75E+01  +1.755E+02  +1.211E+02  +5.572E+00  +1.559E+02

Element # = 16     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +6.14E+01  +3.81E+01  -3.395E+01  -5.471E+01  -4.676E+01  +9.406E+01
  +6.38E+01  +3.64E+01  -1.292E+02  -7.206E+01  -8.251E+01  +1.817E+02
  +6.63E+01  +3.47E+01  -2.282E+02  -9.948E+01  -1.213E+02  +2.888E+02
  +5.96E+01  +3.64E+01  -4.447E+01  -3.637E+01  -6.425E+01  +1.186E+02
  +6.18E+01  +3.46E+01  -1.186E+02  -5.041E+01  -9.019E+01  +1.872E+02
  +6.40E+01  +3.28E+01  -1.995E+02  -7.603E+01  -1.207E+02  +2.723E+02
  +5.77E+01  +3.48E+01  -7.895E+01  -3.169E+01  -8.017E+01  +1.550E+02
  +5.96E+01  +3.30E+01  -1.316E+02  -4.726E+01  -9.831E+01  +2.057E+02
  +6.15E+01  +3.11E+01  -1.945E+02  -7.560E+01  -1.227E+02  +2.720E+02

Element # = 17     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.53E+01  +4.23E+01  +9.611E+01  +4.864E+01  +2.961E+01  +9.777E+01
  +5.76E+01  +4.07E+01  +4.834E+01  -1.470E+00  -5.346E+00  +4.996E+01
  +6.00E+01  +3.91E+01  +1.060E+01  -3.718E+01  -3.370E+01  +7.278E+01
  +5.42E+01  +4.08E+01  +1.015E+02  +6.003E+01  +2.342E+01  +9.725E+01
  +5.63E+01  +3.91E+01  +3.752E+01  +9.961E+00  -1.752E+01  +4.533E+01
  +5.84E+01  +3.74E+01  -1.257E+01  -2.442E+01  -5.006E+01  +8.925E+01
  +5.30E+01  +3.94E+01  +1.044E+02  +5.928E+01  +1.038E+01  +9.243E+01
  +5.48E+01  +3.76E+01  +2.161E+01  +9.673E+00  -3.534E+01  +6.402E+01
  +5.66E+01  +3.59E+01  -4.232E+01  -2.288E+01  -7.085E+01  +1.281E+02

Element # = 18     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.94E+01  +4.62E+01  +6.761E+01  +3.225E+02  +1.212E+02  +3.618E+02
  +5.16E+01  +4.47E+01  +9.655E+01  +1.922E+02  +9.334E+01  +2.321E+02
  +5.39E+01  +4.32E+01  +1.110E+02  +8.022E+01  +6.077E+01  +1.447E+02
  +4.89E+01  +4.49E+01  +9.860E+01  +3.412E+02  +1.549E+02  +4.055E+02
  +5.09E+01  +4.33E+01  +1.235E+02  +2.067E+02  +1.078E+02  +2.594E+02
  +5.30E+01  +4.17E+01  +1.318E+02  +9.141E+01  +5.844E+01  +1.547E+02
  +4.84E+01  +4.37E+01  +1.337E+02  +3.464E+02  +1.856E+02  +4.414E+02
